Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Ozark Border Electric Coop,MO,Cooperative,"32,574","504,882","47,291.0",9.37
Ozark Electric Coop Inc - (MO),MO,Cooperative,"29,049","389,086","41,448.5",10.65
Pemiscot-Dunklin Elec Coop Inc,MO,Cooperative,"5,932","90,030","10,254.0",11.39
"Platte-Clay Electric Coop, Inc",MO,Cooperative,"19,875","313,150","32,669.0",10.43
Ralls County Electric Coop,MO,Cooperative,"5,380","63,370","8,532.0",13.46
SE-MA-NO Electric Coop,MO,Cooperative,"5,512","76,351","6,828.0",8.94
SEMO Electric Cooperative,MO,Cooperative,"10,695","172,222","16,432.0",9.54
Sac-Osage Electric Coop Inc,MO,Cooperative,"10,122","121,238","14,432.0",11.90
"Southwest Electric Coop, Inc",MO,Cooperative,"37,258","450,041","42,623.0",9.47
Three Rivers Electric Coop,MO,Cooperative,"20,172","272,920","26,768.0",9.81
Trenton Municipal Utilities - (MO),MO,Municipal,"2,688","32,324","3,154.0",9.76
Tri-County Electric Coop Assn,MO,Cooperative,"5,687","68,566","8,482.0",12.37
Union Electric Co - (MO),MO,Investor Owned,"1,036,216","13,385,197","1,297,397.0",9.69
"United Electric Coop, Inc - (MO)",MO,Cooperative,"9,090","116,765","15,395.0",13.18
Webster Electric Coop,MO,Cooperative,"17,152","251,455","20,767.0",8.26
West Central Electric Coop Inc - (MO),MO,Cooperative,"13,490","224,859","22,460.0",9.99
White River Valley El Coop Inc,MO,Cooperative,"35,997","443,328","50,156.0",11.31
4-County Electric Power Assn,MS,Cooperative,"37,554","546,733","61,493.0",11.25
Alcorn County Elec Power Assn,MS,Cooperative,"14,574","214,862","22,711.0",10.57
Canton Municipal Utilities,MS,Municipal,"3,949","44,463","4,922.0",11.07
Central Electric Power Assn - (MS),MS,Cooperative,"29,283","439,607","47,107.0",10.72
City of Aberdeen - (MS),MS,Municipal,"2,690","35,102","3,664.0",10.44
City of Amory,MS,Municipal,"2,983","39,119","3,958.0",10.12
City of Columbus - (MS),MS,Municipal,"9,461","130,072","12,417.0",9.55
City of Holly Springs,MS,Municipal,"8,637","131,033","14,200.0",10.84
City of Macon,MS,Municipal,932,"11,429","1,208.0",10.57
City of New Albany - (MS),MS,Municipal,"7,823","112,016","11,029.0",9.85
City of Okolona,MS,Municipal,"4,182","60,245","6,571.0",10.91
City of Oxford - (MS),MS,Municipal,"6,384","75,759","7,818.0",10.32
City of Philadelphia - (MS),MS,Municipal,"2,887","39,248","3,957.0",10.08
City of Starkville,MS,Municipal,"10,819","116,208","12,475.0",10.74
City of Tupelo - (MS),MS,Municipal,"10,853","144,902","13,173.0",9.09
City of Water Valley - (MS),MS,Municipal,"1,578","21,095","2,158.0",10.23
