Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Reach Energy, LLC",TX,Retail Energy Provider,832,"13,108","1,406.6",10.73
Entrust Energy,TX,Retail Energy Provider,"16,968","238,006","25,645.0",10.77
City of Cuero - (TX),TX,Municipal,"3,010","42,729","4,612.0",10.79
"Spark Energy, LP",TX,Retail Energy Provider,"31,423","548,500","59,468.0",10.84
"Farmers Electric Coop, Inc - (TX)",TX,Cooperative,"43,202","720,069","78,232.0",10.86
General Power & Light,TX,Retail Energy Provider,"1,452","17,340","1,884.0",10.87
"Bluebonnet Electric Coop, Inc",TX,Cooperative,"70,662","1,020,488","110,966.9",10.87
"Rusk County Electric Coop, Inc",TX,Cooperative,"18,913","271,928","29,580.6",10.88
"Wood County Electric Coop, Inc",TX,Cooperative,"29,361","389,094","42,410.0",10.90
"SmartCom Energy Services, LLC",TX,Retail Energy Provider,10,105,11.5,10.95
City of Lampasas - (TX),TX,Municipal,"3,193","41,378","4,539.0",10.97
City of Liberty,TX,Municipal,"2,845","39,677","4,365.4",11.00
City of Garland - (TX),TX,Municipal,"62,084","895,369","98,555.0",11.01
"Everything Energy, LLC",TX,Retail Energy Provider,"3,153","29,903","3,293.7",11.01
"Central Texas Elec Coop, Inc",TX,Cooperative,"34,243","375,568","41,726.1",11.11
El Paso Electric Co,TX,Investor Owned,"259,935","1,975,103","219,461.0",11.11
Hamilton County Elec Coop Assn,TX,Cooperative,"16,111","174,097","19,366.0",11.12
Lamar County Elec Coop Assn,TX,Cooperative,"11,165","138,011","15,426.0",11.18
"Bowie-Cass Electric Coop, Inc",TX,Cooperative,"32,697","476,969","53,460.2",11.21
"Grayson-Collin Elec Coop, Inc",TX,Cooperative,"36,315","616,862","69,383.0",11.25
"Accent Energy Holdings, LLC",TX,Retail Energy Provider,"27,054","405,103","45,665.0",11.27
Sam Houston Electric Coop Inc,TX,Cooperative,"63,576","880,591","99,334.0",11.28
En-Touch Energy,TX,Retail Energy Provider,361,"3,759",424.2,11.28
"Stream SPE, LTD",TX,Retail Energy Provider,"334,285","5,931,795","672,300.0",11.33
"Swisher Electric Coop, Inc",TX,Cooperative,"3,356","24,060","2,735.3",11.37
North Plains Electric Coop Inc,TX,Cooperative,"2,967","34,078","3,877.0",11.38
"Medina Electric Coop, Inc",TX,Cooperative,"25,072","306,797","34,930.9",11.39
"Jasper-Newton Elec Coop, Inc",TX,Cooperative,"19,731","269,246","30,804.0",11.44
Smart Prepaid Electric,TX,Retail Energy Provider,"2,034","19,179","2,202.0",11.48
City of Jasper - (TX),TX,Municipal,"3,522","47,069","5,413.0",11.50
Hino Electric Holding Company,TX,Retail Energy Provider,947,"18,787","2,166.6",11.53
"Pedernales Electric Coop, Inc",TX,Cooperative,"223,611","3,406,048","395,497.0",11.61
"Big Country Electric Coop, Inc",TX,Cooperative,"8,290","76,092","8,871.1",11.66
"Fayette Electric Coop, Inc",TX,Cooperative,"11,919","129,486","15,204.0",11.74
"Direct Energy, LP",TX,Retail Energy Provider,"297,449","3,438,055","403,806.0",11.75
Comanche County Elec Coop Assn,TX,Cooperative,"6,152","89,963","10,576.0",11.76
Mid-South Electric Coop Assn,TX,Cooperative,"21,749","323,067","38,139.0",11.81
"Wharton County Elec Coop, Inc",TX,Cooperative,"5,203","64,815","7,673.0",11.84
"Coleman County Elec Coop, Inc",TX,Cooperative,"6,749","50,273","5,968.0",11.87
"Frontier Utilities, Inc.",TX,Retail Energy Provider,"10,497","127,247","15,108.0",11.87
City of Georgetown - (TX),TX,Municipal,"19,414","234,867","27,888.0",11.87
"Ambit Energy Holdings, LLC",TX,Retail Energy Provider,"311,325","4,495,093","536,790.2",11.94
Cherokee County Elec Coop Assn,TX,Cooperative,"17,772","247,999","29,751.0",12.00
Andeler Corporation dba Andeler Power,TX,Retail Energy Provider,"3,839","43,869","5,284.5",12.05
Fannin County Electric Coop,TX,Cooperative,"8,819","112,184","13,524.0",12.06
First Choice Power,TX,Retail Energy Provider,"154,861","1,882,068","226,974.0",12.06
Southwest Rural Elec Assn Inc,TX,Cooperative,"2,414","27,460","3,314.0",12.07
Liberty Power Corp.,TX,Retail Energy Provider,896,"15,763","1,903.0",12.07
"San Bernard Electric Coop, Inc",TX,Cooperative,"23,835","340,848","42,004.0",12.32
Penstar Power,TX,Retail Energy Provider,"5,213","50,959","6,311.8",12.39
"Southwest Texas Elec Coop, Inc",TX,Cooperative,"5,205","33,413","4,139.0",12.39
Reliant Energy Retail Services,TX,Retail Energy Provider,"1,286,413","18,327,046","2,275,811.6",12.42
Houston County Elec Coop Inc,TX,Cooperative,"19,026","189,768","23,611.2",12.44
TXU Energy Retail Co LP,TX,Retail Energy Provider,"1,579,268","23,215,589","2,903,760.0",12.51
Nueces Electric Cooperative,TX,Cooperative,"33,984","522,384","65,844.8",12.60
San Patricio Electric Coop Inc,TX,Cooperative,"8,346","108,492","13,853.0",12.77
City of San Marcos,TX,Municipal,"18,072","199,706","25,836.0",12.94
Just Energy,TX,Retail Energy Provider,"143,574","2,028,077","262,549.0",12.95
Concho Valley Elec Coop Inc,TX,Cooperative,"9,060","88,897","11,560.0",13.00
Taylor Electric Coop Inc - (TX),TX,Cooperative,"13,210","164,647","21,593.0",13.11
City of College Station - (TX),TX,Municipal,"33,780","416,915","55,000.0",13.19
"Lighthouse Electric Coop, Inc",TX,Cooperative,"3,676","25,316","3,533.6",13.96
"WTU Energy, LP",TX,Retail Energy Provider,"47,135","490,742","68,854.0",14.03
"Greenbelt Electric Coop, Inc",TX,Cooperative,"3,508","24,261","3,420.0",14.10
"CPL Retail Energy, LP",TX,Retail Energy Provider,"201,181","2,402,718","340,899.0",14.19
"Young Energy, LLC",TX,Retail Energy Provider,"11,142","119,940","17,196.8",14.34
"E-Now, LP",TX,Retail Energy Provider,"5,026","46,791","6,845.0",14.63
dPi Energy LLC,TX,Retail Energy Provider,"5,009","50,294","8,174.2",16.25
"Rio Grande Electric Coop, Inc",TX,Cooperative,"7,850","82,867","13,525.0",16.32
Southwestern Electric Coop Inc - (NM),TX,Cooperative,13,171,29.6,17.31
"Bridger Valley Elec Assn, Inc",UT,Cooperative,"1,746","7,271",952.8,13.10
Brigham City Corporation,UT,Municipal,"6,643","53,005","5,046.0",9.52
City of Bountiful,UT,Municipal,"15,295","156,909","15,266.0",9.73
City of Logan - (UT),UT,Municipal,"16,130","95,889","9,916.4",10.34
City of Murray - (UT),UT,Municipal,"13,977","118,747","10,940.0",9.21
City of Springville,UT,Municipal,"9,486","82,179","8,590.2",10.45
City of St George,UT,Municipal,"22,859","274,862","23,055.0",8.39
City of Washington - (UT),UT,Municipal,"5,578","55,437","4,721.0",8.52
"Dixie Escalante R E A, Inc",UT,Cooperative,"11,840","203,990","11,920.1",5.84
"Empire Electric Assn, Inc",UT,Cooperative,977,"7,228",948.8,13.13
"Garkane Energy Coop, Inc",UT,Cooperative,"9,398","92,141","8,627.0",9.36
Heber Light & Power Company,UT,Municipal,"9,714","82,089","5,962.0",7.26
Hurricane Power Committee,UT,Municipal,"5,422","54,086","4,901.0",9.06
Hyrum City Corporation,UT,Municipal,"2,340","18,096","1,894.0",10.47
Kaysville City Corporation,UT,Municipal,"7,929","91,383","8,224.0",9.00
Lehi City Corporation,UT,Municipal,"14,146","146,133","12,803.0",8.76
Moon Lake Electric Assn Inc,UT,Cooperative,"11,965","133,006","8,564.2",6.44
"Mt Wheeler Power, Inc",UT,Cooperative,208,"1,879",151.0,8.04
Navajo Tribal Utility Authority,UT,State,638,"4,044",386.0,9.55
PacifiCorp,UT,Investor Owned,"722,473","6,851,903","706,176.5",10.31
Payson City Corporation,UT,Municipal,"5,404","43,858","5,308.0",12.10
Provo City Corp,UT,Municipal,"31,204","244,041","23,665.0",9.70
Raft Rural Elec Coop Inc,UT,Cooperative,342,"4,339",362.0,8.34
Spanish Fork City Corporation,UT,Municipal,"9,712","92,372","8,790.0",9.52
Strawberry Electric Serv Dist,UT,Political Subdivision,"2,708","34,679","3,693.7",10.65
Wells Rural Electric Co,UT,Cooperative,511,"5,383",490.0,9.10
A & N Electric Coop,VA,Cooperative,"30,659","320,164","37,854.3",11.82
Appalachian Power Co,VA,Investor Owned,"446,806","6,029,825","646,039.0",10.71
BARC Electric Coop Inc,VA,Cooperative,"12,032","116,565","15,619.2",13.40
Bristol Virginia Utilities,VA,Municipal,"13,706","194,068","20,635.0",10.63
Central Virginia Electric Coop,VA,Cooperative,"31,490","465,623","51,751.0",11.11
City of Bedford - (VA),VA,Municipal,"5,656","79,868","8,357.1",10.46
City of Danville - (VA),VA,Municipal,"37,216","457,707","49,538.0",10.82
City of Franklin - (VA),VA,Municipal,"4,703","70,659","7,511.0",10.63
City of Harrisonburg - (VA),VA,Municipal,"16,953","185,382","18,048.0",9.74
City of Manassas - (VA),VA,Municipal,"12,963","170,123","15,729.0",9.25
City of Martinsville - (VA),VA,Municipal,"6,632","75,532","7,778.0",10.30
City of Radford - (VA),VA,Municipal,"6,458","69,339","8,463.0",12.21
City of Salem - (VA),VA,Municipal,"11,054","128,268","14,027.0",10.94
Community Electric Coop,VA,Cooperative,"9,092","153,099","17,217.0",11.25
Craig-Botetourt Electric Coop,VA,Cooperative,"5,943","63,707","9,637.0",15.13
Kentucky Utilities Co,VA,Investor Owned,"24,387","377,639","34,721.0",9.19
"Mecklenburg Electric Coop, Inc",VA,Cooperative,"29,193","336,437","44,402.1",13.20
"Northern Neck Elec Coop, Inc",VA,Cooperative,"16,283","207,997","27,051.0",13.01
Northern Virginia Elec Coop,VA,Cooperative,"138,876","2,048,831","238,416.6",11.64
Powell Valley Electric Coop,VA,Cooperative,"6,662","89,104","9,152.0",10.27
Prince George Electric Coop,VA,Cooperative,"10,127","154,632","18,749.8",12.13
Rappahannock Electric Coop,VA,Cooperative,"138,358","2,079,086","240,961.0",11.59
Shenandoah Valley Elec Coop,VA,Cooperative,"73,273","1,056,212","109,217.8",10.34
"Southside Electric Coop, Inc",VA,Cooperative,"52,404","682,866","88,940.0",13.02
Town of Culpeper- (VA),VA,Municipal,"4,217","45,124","5,433.4",12.04
Town of Front Royal,VA,Municipal,"6,358","84,252","8,333.0",9.89
Virginia Electric & Power Co,VA,Investor Owned,"2,086,647","27,671,894","3,056,269.0",11.04
Virginia Tech Electric Service,VA,State,"5,189","50,223","6,180.1",12.31
Central Vermont Pub Serv Corp,VT,Investor Owned,"103,188","702,432","118,860.0",16.92
City of Burlington Electric - (VT),VT,Municipal,"16,502","84,189","13,116.0",15.58
Green Mountain Power Corp,VT,Investor Owned,"115,545","835,602","141,049.0",16.88
Town of Hardwick,VT,Municipal,"3,992","23,259","4,294.0",18.46
Town of Stowe- (VT),VT,Municipal,"3,248","20,719","3,799.0",18.34
"Vermont Electric Cooperative, Inc",VT,Cooperative,"33,974","218,455","41,099.5",18.81
Village of Ludlow,VT,Municipal,"2,968","15,366","2,141.0",13.93
Village of Lyndonville - (VT),VT,Municipal,"4,738","32,294","4,789.0",14.83
Village of Morrisville,VT,Municipal,"3,335","20,630","3,245.0",15.73
Village of Northfield - (VT),VT,Municipal,"1,628","10,429","1,449.0",13.89
Village of Swanton - (VT),VT,Municipal,"3,194","26,584","3,099.0",11.66
Washington Electric Coop - (VT),VT,Cooperative,"10,222","61,461","12,050.0",19.61
Avista Corp,WA,Investor Owned,"212,164","2,443,487","212,204.0",8.68
Benton Rural Electric Assn,WA,Cooperative,"11,933","223,469","17,532.0",7.85
"Big Bend Electric Coop, Inc",WA,Cooperative,"4,600","97,757","6,468.0",6.62
City of Blaine - (WA),WA,Municipal,"2,490","24,042","1,621.0",6.74
City of Centralia - (WA),WA,Municipal,"8,415","117,052","8,923.7",7.62
City of Cheney - (WA),WA,Municipal,"4,507","52,056","3,224.5",6.19
City of Ellensburg - (WA),WA,Municipal,"7,989","75,016","5,726.0",7.63
City of Port Angeles - (WA),WA,Municipal,"9,562","133,310","9,617.0",7.21
City of Richland - (WA),WA,Municipal,"22,846","330,864","22,913.0",6.93
City of Seattle - (WA),WA,Municipal,"362,524","3,146,951","243,806.0",7.75
City of Tacoma  - (WA),WA,Municipal,"151,174","1,898,579","142,439.2",7.50
Clearwater Power Company,WA,Cooperative,808,"9,865","1,031.4",10.46
"Columbia Rural Elec Assn, Inc",WA,Cooperative,"2,985","47,381","4,500.7",9.50
Elmhurst Mutual Power & Light Co,WA,Cooperative,"13,288","220,710","12,390.0",5.61
Inland Power & Light Company,WA,Cooperative,"34,465","591,806","43,042.0",7.27
Kootenai Electric Cooperative,WA,Cooperative,77,"1,964",155.4,7.91
Lakeview Light & Power,WA,Cooperative,"9,380","114,535","8,312.0",7.26
Modern Electric Water Company,WA,Cooperative,"8,218","96,953","5,538.0",5.71
"Northern Lights, Inc",WA,Cooperative,15,112,11.8,10.54
"Ohop Mutual Light Company, Inc",WA,Cooperative,"4,065","74,133","5,893.0",7.95
"Okanogan County Elec Coop, Inc",WA,Cooperative,"3,212","37,438","3,852.5",10.29
Orcas Power & Light Coop,WA,Cooperative,"12,757","140,026","14,475.0",10.34
PUD No 1 of Benton County,WA,Political Subdivision,"40,645","668,018","50,678.0",7.59
PUD No 1 of Chelan County,WA,Political Subdivision,"36,057","762,266","24,520.2",3.22
PUD No 1 of Clallam County,WA,Political Subdivision,"27,183","446,567","36,111.0",8.09
PUD No 1 of Clark County - (WA),WA,Political Subdivision,"170,221","2,317,528","212,704.0",9.18
PUD No 1 of Cowlitz County,WA,Political Subdivision,"43,135","754,607","55,001.0",7.29
PUD No 1 of Douglas County,WA,Political Subdivision,"13,893","392,981","10,371.0",2.64
PUD No 1 of Ferry County,WA,Political Subdivision,"2,829","38,511","3,609.5",9.37
PUD No 1 of Franklin County,WA,Political Subdivision,"21,997","336,205","27,963.0",8.32
PUD No 1 of Grays Harbor County,WA,Political Subdivision,"34,660","497,856","42,555.0",8.55
PUD No 1 of Klickitat County,WA,Political Subdivision,"10,075","139,822","12,205.6",8.73
PUD No 1 of Lewis County,WA,Political Subdivision,"25,707","457,085","28,977.0",6.34
PUD No 1 of Okanogan County,WA,Political Subdivision,"16,937","289,640","18,862.7",6.51
PUD No 1 of Pend Oreille County,WA,Political Subdivision,"7,893","138,253","8,460.0",6.12
PUD No 1 of Skamania Co,WA,Political Subdivision,"5,223","74,327","5,480.0",7.37
PUD No 2 of Grant County,WA,Political Subdivision,"35,547","739,941","35,898.0",4.85
PUD No 2 of Pacific County,WA,Political Subdivision,"14,998","179,572","13,876.7",7.73
PUD No 3 of Mason County,WA,Political Subdivision,"30,001","425,976","32,336.2",7.59
PacifiCorp,WA,Investor Owned,"104,224","1,596,276","131,372.3",8.23
Parkland Light & Water Company,WA,Cooperative,"3,862","55,916","3,360.0",6.01
Peninsula Light Company,WA,Cooperative,"27,232","423,183","36,721.0",8.68
Puget Sound Energy Inc,WA,Investor Owned,"961,914","10,869,292","1,126,311.4",10.36
Snohomish County PUD No 1,WA,Political Subdivision,"295,622","3,531,333","297,937.0",8.44
Tanner Electric Coop,WA,Cooperative,"4,268","56,449","6,312.8",11.18
Town of Steilacoom,WA,Municipal,"2,701","30,911","2,166.8",7.01
Vera Irrigation District #15,WA,Political Subdivision,"9,184","136,247","8,547.0",6.27
Adams-Columbia Electric Coop,WI,Cooperative,"33,558","266,039","39,266.0",14.76
Algoma Utility Comm,WI,Municipal,"1,650","11,299","1,416.2",12.53
Barron Electric Coop,WI,Cooperative,"17,625","188,400","24,699.5",13.11
"Bayfield Electric Coop, Inc",WI,Cooperative,"8,732","66,932","11,294.0",16.87
Brodhead Water & Lighting Comm,WI,Municipal,"1,490","12,818","1,587.4",12.38
Cedarburg Light & Water Comm,WI,Municipal,"5,212","44,044","5,528.9",12.55
Central Wisconsin Elec Coop,WI,Cooperative,"7,278","58,076","8,679.0",14.94
Chippewa Valley Electric Coop,WI,Cooperative,"6,842","83,422","11,470.6",13.75
City of Bangor - (WI),WI,Municipal,"1,416","11,678","1,398.0",11.97
City of Black River Falls,WI,Municipal,"2,189","19,262","2,413.2",12.53
City of Boscobel,WI,Municipal,"1,429","11,835","1,280.5",10.82
City of Clintonville - (WI),WI,Municipal,"2,292","17,742","2,010.0",11.33
City of Columbus - (WI),WI,Municipal,"2,317","18,258","2,262.8",12.39
City of Cuba City,WI,Municipal,934,"7,401",907.2,12.26
City of Eagle River - (WI),WI,Municipal,925,"5,244",642.6,12.25
City of Elkhorn,WI,Municipal,"3,973","31,313","3,001.0",9.58
City of Evansville,WI,Municipal,"3,074","28,686","3,493.3",12.18
City of Kaukauna,WI,Municipal,"12,889","121,210","13,467.7",11.11
City of Lodi - (WV),WI,Municipal,"1,442","11,255","1,440.1",12.80
City of Marshfield - (WI),WI,Municipal,"11,229","97,730","9,089.0",9.30
City of Medford - (WI),WI,Municipal,"2,602","23,091","1,812.0",7.85
City of Menasha - (WI),WI,Municipal,"8,159","60,775","7,380.9",12.14
City of New Holstein,WI,Municipal,"2,186","18,951","2,423.5",12.79
City of New Richmond,WI,Municipal,"3,627","31,969","3,547.8",11.10
City of Plymouth - (WI),WI,Municipal,"6,862","62,241","7,165.9",11.51
City of Richland Center - (WI),WI,Municipal,"2,407","17,654","2,009.1",11.38
City of River Falls,WI,Municipal,"5,396","43,259","5,355.4",12.38
City of Sheboygan Falls - (WI),WI,Municipal,"4,032","32,620","2,972.0",9.11
City of Stoughton - (WI),WI,Municipal,"7,583","65,453","7,787.2",11.90
City of Sturgeon Bay - (WI),WI,Municipal,"7,034","51,201","6,086.5",11.89
City of Westby,WI,Municipal,995,"8,375",997.8,11.91
Clark Electric Coop - (WI),WI,Cooperative,"8,872","127,880","15,819.9",12.37
Consolidated Water Power Co,WI,Investor Owned,92,867,74.0,8.54
Dahlberg Light & Power Co,WI,Investor Owned,"10,177","62,300","8,528.0",13.69
Dunn County Electric Coop,WI,Cooperative,"9,004","126,348","16,003.6",12.67
East Central Energy,WI,Cooperative,"4,756","42,978","5,753.0",13.39
Eau Claire Electric Coop,WI,Cooperative,"9,936","130,128","17,764.0",13.65
Florence Utility Comm,WI,Municipal,"1,297","7,107",981.8,13.81
Hartford Electric,WI,Municipal,"5,902","46,720","5,612.6",12.01
Hustisford Utilities,WI,Municipal,"1,339","12,006","1,564.7",13.03
"Jackson Electric Coop, Inc - (WI)",WI,Cooperative,"7,307","91,832","11,662.0",12.70
Jefferson Utilities,WI,Municipal,"3,457","31,327","3,194.3",10.20
Jump River Electric Coop Inc,WI,Cooperative,"8,635","75,306","11,203.0",14.88
Juneau Utility Comm,WI,Municipal,945,"7,593",850.9,11.21
Lake Mills Light & Water,WI,Municipal,"3,476","27,275","3,330.5",12.21
Madison Gas & Electric Co,WI,Investor Owned,"122,807","826,766","130,582.0",15.79
Manitowoc Public Utilities,WI,Municipal,"15,595","105,710","12,218.8",11.56
New London Electric&Water Util,WI,Municipal,"3,282","26,310","3,063.4",11.64
North Central Power Co Inc,WI,Investor Owned,"4,510","22,346","3,175.0",14.21
Northern States Power Co,WI,Investor Owned,"203,725","1,867,030","217,302.0",11.64
Northwestern Wisconsin Elec Co,WI,Investor Owned,"9,751","76,398","10,613.0",13.89
Oakdale Electric Coop,WI,Cooperative,"14,656","142,562","19,849.0",13.92
Oconomowoc Utilities,WI,Municipal,"7,716","73,058","8,311.3",11.38
Oconto Electric Cooperative,WI,Cooperative,"9,301","91,930","12,827.7",13.95
Oconto Falls Water & Light Comm,WI,Municipal,"1,347","9,537","1,303.9",13.67
Pierce-Pepin Coop Services,WI,Cooperative,"7,023","101,040","14,826.0",14.67
Pioneer Power and Light Co,WI,Investor Owned,"1,985","11,316","1,482.0",13.10
Polk-Burnett Electric Coop,WI,Cooperative,"18,543","169,114","26,430.0",15.63
Price Electric Coop Inc,WI,Cooperative,"8,675","54,550","10,038.0",18.40
Reedsburg Utility Comm,WI,Municipal,"4,226","37,306","4,403.1",11.80
Rice Lake Utilities,WI,Municipal,"4,488","40,057","3,820.0",9.54
Riverland Energy Cooperative,WI,Cooperative,"15,737","211,238","29,448.0",13.94
Rock Energy Cooperative,WI,Cooperative,"6,576","78,476","8,918.0",11.36
Scenic Rivers Energy Coop,WI,Cooperative,"12,824","180,099","22,875.8",12.70
Shawano Municipal Utilities,WI,Municipal,"4,189","32,652","3,505.0",10.73
Slinger Utilities,WI,Municipal,"1,860","16,362","2,042.0",12.48
St Croix Electric Coop,WI,Cooperative,"9,470","137,173","16,790.0",12.24
Sun Prairie Utilities,WI,Municipal,"12,295","100,551","10,684.3",10.63
Superior Water and Light Co,WI,Investor Owned,"12,532","88,233","8,744.0",9.91
Taylor Electric Coop - (WI),WI,Cooperative,"4,131","55,575","7,364.5",13.25
Two Rivers Water & Light,WI,Municipal,"5,502","34,981","4,219.2",12.06
Vernon Electric Coop,WI,Cooperative,"10,388","122,340","16,689.0",13.64
Village of Mt. Horeb - (WI),WI,Municipal,"3,133","27,941","3,267.8",11.70
Village of Muscoda,WI,Municipal,886,"7,030",747.4,10.63
Village of New Glarus,WI,Municipal,977,"7,926","1,009.5",12.74
Village of Prairie Du Sac,WI,Municipal,"1,764","14,248","1,673.7",11.75
Village of Waunakee,WI,Municipal,"4,709","46,852","5,472.0",11.68
Waterloo Light & Water Comm,WI,Municipal,"1,509","12,672","1,457.6",11.50
Waupun Utilities,WI,Municipal,"3,744","30,731","3,551.5",11.56
Westfield Electric Company,WI,Investor Owned,586,"4,424",626.0,14.15
Whitehall Electric Utility,WI,Municipal,738,"5,714",784.4,13.73
Wisconsin Electric Power Co,WI,Investor Owned,"982,179","8,154,909","1,137,397.3",13.95
Wisconsin Power & Light Co,WI,Investor Owned,"400,248","3,538,287","445,918.0",12.60
Wisconsin Public Service Corp,WI,Investor Owned,"379,550","2,778,212","355,550.8",12.80
Wisconsin Rapids W W & L Comm,WI,Municipal,"11,758","99,712","10,503.4",10.53
Appalachian Power Co,WV,Investor Owned,"368,415","5,364,795","513,537.0",9.57
Black Diamond Power Co,WV,Investor Owned,"4,493","39,481","5,357.0",13.57
Craig-Botetourt Electric Coop,WV,Cooperative,466,"2,352",413.5,17.58
Monongahela Power Co,WV,Investor Owned,"331,583","3,573,796","364,390.6",10.20
The Potomac Edison Company,WV,Investor Owned,"116,936","1,698,010","164,289.7",9.68
Wheeling Power Co,WV,Investor Owned,"35,134","436,183","42,510.0",9.75
"Beartooth Electric Coop, Inc",WY,Cooperative,359,"4,236",686.0,16.19
"Big Horn County Elec Coop, Inc",WY,Cooperative,258,"3,588",348.7,9.72
Big Horn Rural Electric Co,WY,Cooperative,"2,856","27,233","3,465.0",12.72
Black Hills Power Inc,WY,Investor Owned,"2,170","21,794","2,152.2",9.88
"Bridger Valley Elec Assn, Inc",WY,Cooperative,"3,516","36,724","3,428.1",9.33
"Carbon Power & Light, Inc",WY,Cooperative,"5,415","43,768","6,132.1",14.01
Cheyenne Light Fuel & Power Co,WY,Investor Owned,"35,379","263,626","30,394.5",11.53
City of Cody,WY,Municipal,"5,894","34,851","4,096.0",11.75
City of Gillette - (WY),WY,Municipal,"12,642","136,012","12,357.0",9.09
City of Torrington - (WY),WY,Municipal,"3,159","28,582","2,398.0",8.39
Fall River Rural Elec Coop Inc,WY,Cooperative,252,"4,245",434.0,10.22
Garland Light & Power Company,WY,Cooperative,"1,809","21,069","2,814.0",13.36
High Plains Power Inc,WY,Cooperative,"11,848","141,750","16,043.2",11.32
"High West Energy, Inc",WY,Cooperative,"4,423","52,594","6,123.0",11.64
Lower Valley Energy Inc,WY,Cooperative,"18,635","371,293","22,145.0",5.96
Montana-Dakota Utilities Co,WY,Investor Owned,"12,837","136,766","13,534.0",9.90
NorthWestern Energy LLC - (MT),WY,Investor Owned,178,"1,535",166.6,10.85
PacifiCorp,WY,Investor Owned,"110,757","1,052,691","106,853.9",10.15
Powder River Energy Corp,WY,Cooperative,"14,252","204,831","16,795.0",8.20
Wyrulec Company,WY,Cooperative,"3,156","28,697","4,226.4",14.73
Yampa Valley Electric Assn Inc,WY,Cooperative,576,"5,307",550.3,10.37
Adjustment 2012,AK,Other,"8,238","42,829","19,607.3",.
Adjustment 2012,AL,Other,"18,014","216,754","23,784.1",.
Adjustment 2012,AR,Other,"14,185","170,164","18,847.3",.
Adjustment 2012,AZ,Other,"15,505","165,190","17,931.6",.
Adjustment 2012,CA,Other,"13,271","115,606","11,590.0",.
Adjustment 2012,CO,Other,"23,416","184,290","24,287.0",.
Adjustment 2012,DE,Other,"3,238","30,531","4,013.0",.
Adjustment 2012,FL,Other,"15,141","160,102","21,363.9",.
Adjustment 2012,GA,Other,"33,097","392,408","42,520.7",.
Adjustment 2012,IA,Other,"43,958","415,556","45,293.3",.
Adjustment 2012,ID,Other,"15,644","230,306","17,147.2",.
Adjustment 2012,IL,Other,"78,110","800,076","97,962.6",.
Adjustment 2012,IN,Other,"61,291","696,128","73,902.8",.
Adjustment 2012,KS,Other,"46,024","439,496","53,836.0",.
Adjustment 2012,KY,Other,"13,950","164,558","15,886.5",.
Adjustment 2012,LA,Other,"24,444","312,178","29,745.9",.
Adjustment 2012,MA,Other,"42,202","364,806","51,189.8",.
Adjustment 2012,MD,Other,"5,283","66,720","7,407.3",.
Adjustment 2012,ME,Other,"1,832","9,473","1,662.2",.
Adjustment 2012,MI,Other,"33,567","238,852","28,160.6",.
Adjustment 2012,MN,Other,"42,694","378,545","40,456.3",.
Adjustment 2012,MO,Other,"60,296","683,747","72,201.4",.
Adjustment 2012,MS,Other,"7,105","76,939","9,162.7",.
Adjustment 2012,MT,Other,"7,081","81,610","9,604.5",.
Adjustment 2012,NC,Other,"49,528","559,076","71,774.8",.
Adjustment 2012,ND,Other,"7,501","114,705","11,564.0",.
Adjustment 2012,NE,Other,"28,131","318,764","32,242.0",.
Adjustment 2012,NH,Other,"5,149","33,782","4,259.5",.
Adjustment 2012,NJ,Other,"16,818","122,238","23,794.8",.
Adjustment 2012,NM,Other,"14,791","90,395","12,621.4",.
Adjustment 2012,NV,Other,"6,681","56,283","5,816.6",.
Adjustment 2012,NY,Other,"65,677","787,297","50,928.0",.
Adjustment 2012,OH,Other,"58,536","602,135","61,881.5",.
Adjustment 2012,OK,Other,"50,376","557,532","59,023.7",.
Adjustment 2012,OR,Other,"5,171","68,140","8,472.5",.
Adjustment 2012,PA,Other,"65,113","490,322","71,710.7",.
Adjustment 2012,SC,Other,"10,965","115,690","13,385.3",.
Adjustment 2012,SD,Other,"8,877","116,088","11,188.2",.
Adjustment 2012,TX,Other,"81,087","998,430","112,776.7",.
Adjustment 2012,UT,Other,"27,418","233,255","20,976.1",.
Adjustment 2012,VA,Other,"5,181","70,449","6,862.4",.
Adjustment 2012,VT,Other,"6,485","43,863","7,334.9",.
Adjustment 2012,WA,Other,"19,278","274,693","22,268.0",.
Adjustment 2012,WI,Other,"31,679","267,085","30,692.1",.
Adjustment 2012,WV,Other,"8,646","80,062","12,192.8",.
Adjustment 2012,WY,Other,"10,820","95,336","12,363.3",.
